 Support Controller design:   FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 1 of 8, step 2 of 55, FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 1 of 8, step 3 of 55, FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 1 of 8, step 4 of 55, FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 1 of 8, step 5 of 55, FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 1 of 8, step 6 of 55, FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 1 of 8, step 7 of 55, FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 1 of 8, step 8 of 55, FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 1 of 8, step 9 of 55, FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 1 of 8, step 10 of 55, FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 1 of 8, step 11 of 55, FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 1 of 8, step 12 of 55, FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 1 of 8, step 13 of 55, FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 1 of 8, step 14 of 55, FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 1 of 8, step 15 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 1 of 8, step 16 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 1 of 8, step 17 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 1 of 8, step 18 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 1 of 8, step 19 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 1 of 8, step 20 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 1 of 8, step 21 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 1 of 8, step 22 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 1 of 8, step 23 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 1 of 8, step 24 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 1 of 8, step 25 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 1 of 8, step 26 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 1 of 8, step 27 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 1 of 8, step 28 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 1 of 8, step 29 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 1 of 8, step 30 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 1 of 8, step 31 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 1 of 8, step 32 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 1 of 8, step 33 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 1 of 8, step 34 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 1 of 8, step 35 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
